RUN	simulation.AssignmentSimulation	assignmentsimulation	1624305474575	Run1	3.5.1
USER	AssignmentSimulation	START	1624305477881
REQUEST	A01_HomePage	A01_HomePage	1624305477946	1624305479358	OK	 
GROUP	A01_HomePage	1624305477903	1624305479526	1412	OK
REQUEST	A02_ClickingOnLogin	A02_ClickingOnLogin	1624305484545	1624305486062	OK	 
REQUEST	A02_ClickingOnLogin	A02_ClickingOnLogin Redirect 1	1624305486068	1624305486548	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest1	1624305486593	1624305486936	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest4	1624305486618	1624305487551	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest6	1624305486631	1624305487709	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest2	1624305486609	1624305487726	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest5	1624305486629	1624305487869	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest3	1624305486615	1624305488160	OK	 
GROUP	A02_ClickingOnLogin	1624305484532	1624305488174	3595	OK
REQUEST	A03_ClickingOnAdminModule	A03_ClickingOnAdminModule	1624305493179	1624305494331	OK	 
REQUEST	A03_ClickingOnAdminModule	A03_ClickingOnAdminModule Redirect 1	1624305494339	1624305495122	OK	 
GROUP	A03_ClickingOnAdminModule	1624305493176	1624305495137	1935	OK
REQUEST	A04_ClickingOnTimeModule	A04_ClickingOnTimeModule	1624305500142	1624305502817	OK	 
REQUEST	A04_ClickingOnTimeModule	A04_ClickingOnTimeModule Redirect 1	1624305502825	1624305503521	OK	 
GROUP	A04_ClickingOnTimeModule	1624305500139	1624305503529	3371	OK
REQUEST	A05_ClickingOnLogout	A05_ClickingOnLogout	1624305508533	1624305510038	OK	 
REQUEST	A05_ClickingOnLogout	A05_ClickingOnLogout Redirect 1	1624305510040	1624305510487	OK	 
GROUP	A05_ClickingOnLogout	1624305508530	1624305510496	1952	OK
REQUEST	A01_HomePage	A01_HomePage	1624305510500	1624305510821	OK	 
GROUP	A01_HomePage	1624305510498	1624305510826	321	OK
REQUEST	A02_ClickingOnLogin	A02_ClickingOnLogin	1624305515834	1624305517035	OK	 
REQUEST	A02_ClickingOnLogin	A02_ClickingOnLogin Redirect 1	1624305517037	1624305517461	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest1	1624305517491	1624305517848	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest4	1624305517526	1624305518568	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest6	1624305517539	1624305518600	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest2	1624305517511	1624305518627	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest3	1624305517518	1624305518869	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest5	1624305517536	1624305518892	OK	 
GROUP	A02_ClickingOnLogin	1624305515831	1624305518907	3049	OK
REQUEST	A03_ClickingOnAdminModule	A03_ClickingOnAdminModule	1624305523911	1624305525117	OK	 
REQUEST	A03_ClickingOnAdminModule	A03_ClickingOnAdminModule Redirect 1	1624305525120	1624305525836	OK	 
GROUP	A03_ClickingOnAdminModule	1624305523909	1624305525842	1922	OK
REQUEST	A04_ClickingOnTimeModule	A04_ClickingOnTimeModule	1624305530846	1624305532493	OK	 
REQUEST	A04_ClickingOnTimeModule	A04_ClickingOnTimeModule Redirect 1	1624305532499	1624305533110	OK	 
GROUP	A04_ClickingOnTimeModule	1624305530845	1624305533119	2258	OK
REQUEST	A05_ClickingOnLogout	A05_ClickingOnLogout	1624305538122	1624305539254	OK	 
REQUEST	A05_ClickingOnLogout	A05_ClickingOnLogout Redirect 1	1624305539258	1624305539680	OK	 
GROUP	A05_ClickingOnLogout	1624305538121	1624305539683	1554	OK
REQUEST	A01_HomePage	A01_HomePage	1624305539685	1624305540020	OK	 
GROUP	A01_HomePage	1624305539684	1624305540024	335	OK
REQUEST	A02_ClickingOnLogin	A02_ClickingOnLogin	1624305545035	1624305546313	OK	 
REQUEST	A02_ClickingOnLogin	A02_ClickingOnLogin Redirect 1	1624305546317	1624305546748	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest1	1624305546756	1624305547106	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest4	1624305546795	1624305547764	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest6	1624305546817	1624305547768	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest2	1624305546778	1624305547772	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest5	1624305546804	1624305548057	OK	 
REQUEST	A02_ClickingOnLogin	A02_SubRequest3	1624305546783	1624305548083	OK	 
GROUP	A02_ClickingOnLogin	1624305545034	1624305548087	3041	OK
REQUEST	A03_ClickingOnAdminModule	A03_ClickingOnAdminModule	1624305553097	1624305554025	OK	 
REQUEST	A03_ClickingOnAdminModule	A03_ClickingOnAdminModule Redirect 1	1624305554027	1624305554632	OK	 
GROUP	A03_ClickingOnAdminModule	1624305553095	1624305554644	1533	OK
REQUEST	A04_ClickingOnTimeModule	A04_ClickingOnTimeModule	1624305559649	1624305561266	OK	 
REQUEST	A04_ClickingOnTimeModule	A04_ClickingOnTimeModule Redirect 1	1624305561269	1624305561647	OK	 
GROUP	A04_ClickingOnTimeModule	1624305559646	1624305561657	1995	OK
